transcriptID,geneID
YCR025C_mRNA,YCR025C
YCR026C_mRNA,YCR026C
YCR027C_mRNA,YCR027C
YCR028C_mRNA,YCR028C
YCR028C-A_mRNA,YCR028C-A
YCR030C_mRNA,YCR030C
YCR031C_mRNA,YCR031C
YCR032W_mRNA,YCR032W
YCR033W_mRNA,YCR033W
YCR034W_mRNA,YCR034W
YCR035C_mRNA,YCR035C
YCR036W_mRNA,YCR036W
YCR037C_mRNA,YCR037C
YCR038C_mRNA,YCR038C
YCR038W-A_mRNA,YCR038W-A
YCR039C_mRNA,YCR039C
YCR040W_mRNA,YCR040W
YCR041W_mRNA,YCR041W
YCR042C_mRNA,YCR042C
YCR043C_mRNA,YCR043C
YCR044C_mRNA,YCR044C
YCR045C_mRNA,YCR045C
YCR045W-A_mRNA,YCR045W-A
YCR046C_mRNA,YCR046C
YCR047C_mRNA,YCR047C
YCR047W-A_mRNA,YCR047W-A
YCR049C_mRNA,YCR049C
YCR048W_mRNA,YCR048W
YCR050C_mRNA,YCR050C
YCR051W_mRNA,YCR051W
YCR052W_mRNA,YCR052W
YCR053W_mRNA,YCR053W
YCR054C_mRNA,YCR054C
YCR057C_mRNA,YCR057C
YCR059C_mRNA,YCR059C
YCR060W_mRNA,YCR060W
YCR061W_mRNA,YCR061W
YCR064C_mRNA,YCR064C
YCR063W_mRNA,YCR063W
YCR065W_mRNA,YCR065W
YCR066W_mRNA,YCR066W
YCR067C_mRNA,YCR067C
YCR068W_mRNA,YCR068W
YCR069W_mRNA,YCR069W
YCR071C_mRNA,YCR071C
YCR072C_mRNA,YCR072C
YCR073C_mRNA,YCR073C
YCR073W-A_mRNA,YCR073W-A
YCR075C_mRNA,YCR075C
YCR075W-A_mRNA,YCR075W-A
YCR076C_mRNA,YCR076C
YCR077C_mRNA,YCR077C
YCR079W_mRNA,YCR079W
YCR081W_mRNA,YCR081W
YCR081C-A_mRNA,YCR081C-A
YCR082W_mRNA,YCR082W
YCR083W_mRNA,YCR083W
YCR084C_mRNA,YCR084C
YCR085W_mRNA,YCR085W
YCR086W_mRNA,YCR086W
YCR087W_mRNA,YCR087W
YCR087C-A_mRNA,YCR087C-A
YCR088W_mRNA,YCR088W
YCR089W_mRNA,YCR089W
YCR090C_mRNA,YCR090C
YCR091W_mRNA,YCR091W
YCR092C_mRNA,YCR092C
YCR093W_mRNA,YCR093W
YCR094W_mRNA,YCR094W
YCR095C_mRNA,YCR095C
YCR095W-A_mRNA,YCR095W-A
YCR096C_mRNA,YCR096C
YCR097W_mRNA,YCR097W
YCR097W-A_mRNA,YCR097W-A
YCR098C_mRNA,YCR098C
YCR099C_mRNA,YCR099C
YCR100C_mRNA,YCR100C
YCR101C_mRNA,YCR101C
YCR102C_mRNA,YCR102C
YCR102W-A_mRNA,YCR102W-A
YCR104W_mRNA,YCR104W
YCR105W_mRNA,YCR105W
YCR106W_mRNA,YCR106W
YCR107W_mRNA,YCR107W
YCR108C_mRNA,YCR108C
YDL248W_mRNA,YDL248W
YDL247W-A_mRNA,YDL247W-A
YDL247W_mRNA,YDL247W
YDL246C_mRNA,YDL246C
YDL245C_mRNA,YDL245C
YDL244W_mRNA,YDL244W
YDL243C_mRNA,YDL243C
YDL242W_mRNA,YDL242W
YDL241W_mRNA,YDL241W
YDL240C-A_mRNA,YDL240C-A
YDL240W_mRNA,YDL240W
YDL239C_mRNA,YDL239C
YDL238C_mRNA,YDL238C
YDL237W_mRNA,YDL237W
YDL236W_mRNA,YDL236W
YDL235C_mRNA,YDL235C
YDL234C_mRNA,YDL234C
YDL233W_mRNA,YDL233W
YDL232W_mRNA,YDL232W
YDL231C_mRNA,YDL231C
YDL230W_mRNA,YDL230W
YDL229W_mRNA,YDL229W
YDL228C_mRNA,YDL228C
YDL227C_mRNA,YDL227C
YDL226C_mRNA,YDL226C
YDL225W_mRNA,YDL225W
YDL224C_mRNA,YDL224C
YDL223C_mRNA,YDL223C
YDL222C_mRNA,YDL222C
YDL221W_mRNA,YDL221W
YDL220C_mRNA,YDL220C
YDL219W_mRNA,YDL219W
YDL218W_mRNA,YDL218W
YDL217C_mRNA,YDL217C
YDL216C_mRNA,YDL216C
YDL215C_mRNA,YDL215C
YDL214C_mRNA,YDL214C
YDL213C_mRNA,YDL213C
